ScenarioGroup,Year,Emissions_min,Emissions_max,Emissions_mean
BASE,2019,490238.8380398604,490965.0136053197,490601.92582259007
BASE,2020,439992.94971959805,440720.5494099979,440356.74956479797
BASE,2021,458036.1614694369,458770.6070691863,458403.38426931156
BASE,2022,422541.9903194078,425715.97818482347,424128.9842521156
BASE,2023,442855.33280047966,448947.2388337707,445901.2858171252
BASE,2024,438905.1829949927,439692.9134226275,439299.0482088101
BASE,2025,420781.87310940353,422571.92505699745,421676.8990832005
BASE,2026,407372.58289510256,415771.756875684,411572.1698853933
BASE,2027,389347.5526782609,410250.45340174483,399799.0030400029
BASE,2028,364129.0224177973,403728.90796571353,383928.96519175544
BASE,2029,345011.73708319303,401098.52109210764,373055.12908765033
BASE,2030,334744.8614255403,395191.2509308857,364968.056178213
BASE,2031,309512.6062627246,388315.5431788908,348914.0747208077
BASE,2032,291365.1663949058,377266.8619216682,334316.014158287
BASE,2033,261823.187605601,366124.08951768104,313973.63856164104
BASE,2034,244310.78590678392,359769.4770422334,302040.1314745087
BASE,2035,231273.1777927187,356089.90267859306,293681.54023565585
BASE,2036,218905.35159565098,351435.86090937804,285170.6062525145
BASE,2037,207226.69244835022,347059.21303991927,277142.95274413476
BASE,2038,194278.3149281664,342550.24875795667,268414.28184306156
BASE,2039,177893.9793393927,337600.52590238233,257747.25262088754
BASE,2040,164423.85280222932,326720.4419643003,245572.1473832648
BASE,2041,178742.08544546345,338271.4253116408,258506.75537855213
BASE,2042,190428.95260049362,344225.2504819235,267327.10154120857
BASE,2043,189074.55205787523,333297.3658131268,261185.958935501
BASE,2044,189254.16565704576,325741.8631178946,257498.0143874702
BASE,2045,189919.8918565204,327339.9089018189,258629.90037916967
BASE,2046,190521.37317330664,323605.9259881016,257063.6495807041
BASE,2047,191173.4570021775,310033.3925774983,250603.4247898379
BASE,2048,191528.28073724126,294072.3453780732,242800.31305765724
BASE,2049,192034.80892269328,284495.3188139661,238265.0638683297
BASE,2050,193319.7102401805,278378.0684695512,235848.88935486585
BASE,2051,192715.5010459651,276318.05825340113,234516.7796496831
BASE,2052,193019.13199825407,277287.2920073609,235153.21200280747
BASE,2053,193560.48003211946,277684.3438876117,235622.4119598656
BASE,2054,193975.27289059284,278439.15127858653,236207.2120845897
BASE,2055,194370.3691501684,279481.8347827249,236926.10196644667
CPP,2019,490043.9219919628,490793.02432452876,490542.44843418995
CPP,2020,439653.79765698174,440414.5115509946,440157.7492964505
CPP,2021,456580.8548501801,457878.13386622514,457443.5371073208
CPP,2022,422202.83807106555,424440.4728249561,423687.371492402
CPP,2023,441300.41314111376,447894.703056264,445677.75191574666
CPP,2024,435019.95347008656,438630.8259721565,437363.4855672959
CPP,2025,405128.2599139042,419275.352862362,414383.51893879223
CPP,2026,390880.44551916106,411826.91299223487,404420.6802094953
CPP,2027,371697.75672996865,405200.81783311296,388732.7529740062
CPP,2028,350654.3559173849,397910.4220656454,378060.3812494944
CPP,2029,334001.80497356807,392531.9718706359,366342.30691939825
CPP,2030,323766.5995465133,386512.4668697532,355245.41705931333
CPP,2031,313436.4372484377,377897.74560829526,345353.84700309834
CPP,2032,297870.4972402088,364100.40694125835,329546.78825610253
CPP,2033,282090.8831613254,350870.94735937787,314832.52575726976
CPP,2034,268943.42643281736,343648.15875892446,304073.70614679187
CPP,2035,253774.37080029532,339268.3514872743,294080.03007213
CPP,2036,239313.0113892247,333464.5917191178,282308.43924206577
CPP,2037,225382.4047932731,328229.8758426985,270819.9203731386
CPP,2038,210765.12142514836,322917.7244197604,259355.2784090688
CPP,2039,200212.62531043202,316774.40329910786,249376.97145064143
CPP,2040,193181.7913171584,306504.5759469576,243656.90359446467
CPP,2041,205376.64972536432,316221.11239922687,255300.92363951635
CPP,2042,215801.8473887431,321139.1749687007,265184.9505660169
CPP,2043,213982.26970977563,309019.12063488783,260081.87413882825
CPP,2044,212976.40618874,303565.37863380427,260359.65518196448
CPP,2045,214433.15030052236,307606.23390545003,265847.01599099964
CPP,2046,212860.5578906004,302130.24151154025,264705.74543010263
CPP,2047,209289.06013659434,289876.6936597291,259478.5079676886
CPP,2048,204258.60526605562,282681.62599577004,252936.04511652273
CPP,2049,200883.94013634993,276031.36306701804,247057.44802735667
CPP,2050,196326.33296338344,269381.3423376433,241822.95023400488
CPP,2051,198080.12401652726,265497.16148248996,241936.5145907045
CPP,2052,200357.06713311365,267465.56500480877,244232.83580057623
CPP,2053,201882.04384009787,267386.3696672291,243460.7117409069
CPP,2054,203036.0177610358,267506.21465592826,244386.1256169344
CPP,2055,203007.36835001392,267436.2414851734,244540.12137404413
